"scenario","model","rep","pvpr_2_10","pcr_2_10","clin_0_5","clin_all","relapse_all","hyp_all","eir_realised"
"nets_e10","IBM",6,0.14155159276034,0.273876630545489,2.03738305699916,0.876860731084843,7.95407024408113,0.413927314482265,7.7706456492756
"irs_e1","IBM",6,0,0,0,0,0,0.00290720445367431,8.69731926761707e-108
"irs","IBM",6,0,0,0,0,0,0.00928454903901477,4.83533723035073e-26
"irs_e10","IBM",6,0,0,0,0,0,0.0261122408936884,2.56456612890259e-06
"treatment_e1","IBM",6,0.0165662919071267,0.0349733871626015,0.271368806683487,0.287367086756882,1.01149052716563,0.10112123673971,0.649784217467033
"treatment","IBM",6,0.0442132659880438,0.0929225344823804,0.789028075750817,0.513881156099454,3.50448230156733,0.258345484713707,2.39110746696988
"treatment_e10","IBM",6,0.1077880529522,0.229082800338335,1.93371965080363,0.777961043293881,11.1735929969017,0.511787192421836,9.02005732267791
"primaquine_e1","IBM",6,0.00175928661178503,0.00413100294686773,0.0369115088125934,0.0427817277190193,0.269820394209043,0.0266965120301471,0.211266044703957
"primaquine","IBM",6,0.0107571908265426,0.0256510835863525,0.21992352304358,0.159161644507138,1.79859705298199,0.134224807830055,1.46837055924646
"primaquine_e10","IBM",6,0.0456072147452342,0.104906526686927,0.901937504517728,0.391283061420186,8.16897513787833,0.371317734076347,7.3633020701438
"tafenoquine_e1","IBM",6,0.00179384143487397,0.00454622409448976,0.0318794436855296,0.0419411803098454,0.294829721106089,0.0279751579516341,0.235430435786442
"tafenoquine","IBM",6,0.0111262398362466,0.02423865969166,0.246436333579393,0.167802795964834,1.75474164779559,0.130562802925253,1.47429179561447
"tafenoquine_e10","IBM",6,0.0449668880793753,0.105310572151325,0.832750035440885,0.376050537683062,8.46833520297302,0.376874758039627,7.34997597095928
"nets_e1","IBM",7,0.0108460859776689,0.0222084258724026,0.130002104641794,0.135020607827386,0.354983284608865,0.0378699079710285,0.300671682035701
"nets","IBM",7,0.0456566322255637,0.0921716742709767,0.577263421563974,0.388380992383806,1.84906555291573,0.15481645858809,1.69971144112593
"nets_e10","IBM",7,0.139609633903509,0.266138866686802,2.07204888210163,0.839508864671191,7.80517347752251,0.408787819793819,7.61961184392346
"irs_e1","IBM",7,0,0,0,0,0,0.00414825450446822,7.14002322985172e-105
"irs","IBM",7,0,0,0,0,0,0.00907454123587091,1.17957911256319e-21
"irs_e10","IBM",7,0,0,0,0,0,0.0276837005847131,7.65880635351671e-14
"treatment_e1","IBM",7,0.0143164932663036,0.0307862440655129,0.252486530268187,0.260732062573229,0.96923945146699,0.0966948207488061,0.583625884453412
"treatment","IBM",7,0.0424702505699418,0.0910705705552204,0.800569624581661,0.501671402644705,3.40968714587076,0.256307121661448,2.31031314042943
"treatment_e10","IBM",7,0.106492272952836,0.228525537882123,1.9680300975211,0.781809476847546,11.2233004394374,0.517172700347099,8.8980715897998
